Material 1,Material 2,Step in ratio,Angle,Polarization value,Polarization range,Color value,Color range
,,0.1,10,0.5,0.1,0.45,0.1
,,,,,,,
,,fraction of material 1,fraction of material 2,size of material 1,size of material 2,polarization value,color value
Ice_tholin,Titan_tholin,0.1,0.9,0.112939,0.148184,0.51335,0.355235
Ice_tholin,Titan_tholin,0.1,0.9,0.991995,0.148184,0.413501,0.366386
ice+void_porosity_0.40,ice+void_porosity_0.50,0.1,0.9,0.991995,0.148184,0.472626,0.370171
ice+void_porosity_0.40,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.576053,0.362895
ice+void_porosity_0.40,ice+void_porosity_0.55,0.1,0.9,0.991995,0.148184,0.468481,0.384601
ice+void_porosity_0.40,ice+void_porosity_0.90,0.1,0.9,0.991995,0.148184,0.468481,0.370817
ice+void_porosity_0.40,Organic,0.1,0.9,0.112939,0.148184,0.459672,0.39041
ice+void_porosity_0.40,Organic,0.1,0.9,0.148184,0.148184,0.59672,0.374319
ice+void_porosity_0.40,Organic,0.1,0.9,1.30157,0.148184,0.477976,0.371686
ice+void_porosity_0.40,Titan_tholin,0.1,0.9,0.112939,0.148184,0.521974,0.351972
ice+void_porosity_0.40,Titan_tholin,0.1,0.9,0.991995,0.148184,0.425738,0.373365
ice+void_porosity_0.50,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.576501,0.362377
ice+void_porosity_0.50,ice+void_porosity_0.55,0.1,0.9,0.991995,0.148184,0.469567,0.384416
ice+void_porosity_0.50,ice+void_porosity_0.90,0.1,0.9,0.991995,0.148184,0.469567,0.370622
ice+void_porosity_0.50,Organic,0.1,0.9,0.112939,0.148184,0.460023,0.389951
ice+void_porosity_0.50,Organic,0.1,0.9,0.148184,0.148184,0.597598,0.373982
ice+void_porosity_0.50,Organic,0.1,0.9,1.30157,0.148184,0.479208,0.371685
ice+void_porosity_0.50,Titan_tholin,0.1,0.9,0.112939,0.148184,0.522374,0.351472
ice+void_porosity_0.50,Titan_tholin,0.1,0.9,0.991995,0.148184,0.426705,0.37318
ice+void_porosity_0.55,ice+void_porosity_0.90,0.1,0.9,0.991995,0.148184,0.472273,0.371818
ice+void_porosity_0.55,Organic,0.1,0.9,0.112939,0.148184,0.463412,0.390462
ice+void_porosity_0.55,Organic,0.1,0.9,1.30157,0.148184,0.487158,0.374409
ice+void_porosity_0.55,Titan_tholin,0.1,0.9,0.112939,0.148184,0.526041,0.351993
ice+void_porosity_0.55,Titan_tholin,0.1,0.9,0.991995,0.148184,0.429114,0.374322
ice+void_porosity_0.90,Organic,0.1,0.9,0.112939,0.148184,0.463412,0.388665
ice+void_porosity_0.90,Organic,0.1,0.9,1.30157,0.148184,0.487158,0.376257
ice+void_porosity_0.90,Titan_tholin,0.1,0.9,0.112939,0.148184,0.526041,0.350058
ice+void_porosity_0.90,Titan_tholin,0.1,0.9,0.991995,0.148184,0.429114,0.370934
Organic,Titan_tholin,0.1,0.9,0.112939,0.148184,0.499293,0.360777
